010091,Bucuresti,Bucuresti,Cale,Victoriei nr. 90-110,1726,P15,0,DA,BUH
010092,Bucuresti,Bucuresti,Cale,Victoriei nr. 112-116,1726,P15,0,DA,BUH
010093,Bucuresti,Bucuresti,Cale,Victoriei nr. 118-124,1726,P15,0,DA,BUH
010094,Bucuresti,Bucuresti,Cale,Victoriei nr. 126-140,1726,P15,0,DA,BUH
010095,Bucuresti,Bucuresti,Cale,Victoriei nr. 142-148,1726,P15,0,DA,BUH
010096,Bucuresti,Bucuresti,Cale,Victoriei nr. 150-172,1726,P15,0,DA,BUH
010097,Bucuresti,Bucuresti,Cale,Victoriei nr. 174-194,1726,P13,0,DA,BUH
010098,Bucuresti,Bucuresti,Cale,Victoriei nr. 196-214,1726,P13,0,DA,BUH
010099,Bucuresti,Bucuresti,Cale,Victoriei nr. 216-T,1726,P13,0,DA,BUH
010101,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 1-29,1726,P15,0,DA,BUH
010102,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 31-41,1726,P15,0,DA,BUH
010103,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 43-55,1726,P15,0,DA,BUH
010104,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 57-59,1726,P15,0,DA,BUH
010105,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 61-71,1726,P15,0,DA,BUH
010106,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 73-83,1726,P15,0,DA,BUH
010107,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 85-89,1726,P15,0,DA,BUH
010108,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 91-107,1726,P07,0,DA,BUH
010109,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 109-T,1726,P07,0,DA,BUH
010111,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 2-14,1726,P15,0,DA,BUH
010112,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 16-24,1726,P15,0,DA,BUH
010113,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 26-38,1726,P15,0,DA,BUH
010114,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 40,1726,P15,0,DA,BUH
010115,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 42-54,1726,P15,0,DA,BUH
010116,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 56-62,1726,P15,0,DA,BUH
010117,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 64-88,1726,P15,0,DA,BUH
010118,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 90-96,1726,P15,0,DA,BUH
010119,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 98-148,1726,P15,0,DA,BUH
010121,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 150-168,1726,P07,0,DA,BUH
010122,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 170-174,1726,P07,0,DA,BUH
010123,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 176-T,1726,P07,0,DA,BUH
010124,Bucuresti,Bucuresti,Intrare,Stirbei Voda,1726,P15,0,DA,BUH
010125,Bucuresti,Bucuresti,Piata,Ionesco Eugen,1726,BUH1,0,DA,BUH
010131,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 15-31",1726,P15,0,DA,BUH
010132,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 33-39",1726,P15,0,DA,BUH
